User name;Service;Expiry;Download limit;Upload limit;Total limit;Uptime limit;CPE IP;CM IP;CM MAC;First name;Last name;Company;Address;City;ZIP;Country;State;Phone;Cell number;Email;Registered;Last logoff;Comment
"rimre";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"rudolf57";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"saponjam";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.27";"00:13:71:e6:60:5c";"";"";"";"";"";"";"";"";"";"";"";"2012-01-16";"";""
"sara";"MB prepaid";"never";"1.7 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"sava";"MB prepaid";"never";"81.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"scarabeus";"MB prepaid";"never";"206.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"setalogabor";"IAS days";"0000-00-00";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"sogor";"MB prepaid";"never";"6.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"srdicd";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.28";"00:1a:ad:73:42:ac";"";"";"";"";"";"";"";"";"";"";"";"2011-12-19";"";""
"starig";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.29";"00:1a:ad:77:88:6e";"";"";"";"";"";"";"";"";"";"";"";"2011-12-15";"";""
"stitch";"MB prepaid";"never";"152.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"stojnicm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.30";"00:1a:ad:73:69:da";"";"";"";"";"";"";"";"";"";"";"";"2011-12-15";"";""
"stricevicb";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.31";"00:1a:ad:73:5b:2a";"";"";"";"";"";"";"";"";"";"";"";"2011-10-04";"";""
"sutka";"Monthly 1 GB prepaid";"2006-04-01";"1.9 GB";"3.0 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"svetozar";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szabina";"MB prepaid";"never";"620.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szabo35";"MB prepaid";"never";"236.3 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szaby";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szekeres";"MB prepaid";"never";"109.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szili";"MB prepaid";"never";"251.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szilvasi";"MB prepaid";"never";"829.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szilvia";"MB prepaid";"never";"545.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szollar";"Monthly 1 GB postpaid";"2006-04-01";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"szomka";"MB prepaid";"never";"1.8 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tajti";"MB prepaid";"never";"80.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tamara";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tamburin";"MB prepaid";"never";"906.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tandi";"MB prepaid";"never";"1.1 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tata";"MB prepaid";"never";"599.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"teledom";"MB prepaid";"never";"1 009.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"terror";"MB prepaid";"never";"29.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"testikus";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.32";"00:00:00:00:00:15";"";"";"";"";"";"";"";"";"";"";"";"2011-11-29";"";""
"tkcs";"MB prepaid";"never";"522.6 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tomasicm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.33";"00:1a:ad:72:1b:fe";"";"";"";"";"";"";"";"";"";"";"";"2011-11-28";"";""
"turi";"Monthly 1 GB prepaid";"2006-04-01";"1.2 GB";"1.2 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tux";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"tyutyu";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"umicevicp";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.34";"00:13:71:e9:96:8a";"";"";"";"";"";"";"";"";"";"";"";"2011-10-17";"";""
"unitex";"MB prepaid";"never";"1.1 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"urban";"MB prepaid";"never";"1.3 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"user";"MB prepaid";"never";"9.5 MB";"no limit";"no limit";"no limit";"";"";"";"John Smith";"";"";"West coast 1012";"Tampa";"";"United States";"California";"56574121";"875412151";"";"2007-09-04";"";""
"vamos";"MB prepaid";"never";"197.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"varro";"MB prepaid";"never";"1.1 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"vatai";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"velin";"MB prepaid";"never";"310.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"viktor";"Monthly 1 GB prepaid";"2006-04-01";"1.7 GB";"2.0 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"viktork";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"virag";"MB prepaid";"never";"141.6 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"vivien";"Monthly 1 GB prepaid";"2007-07-23";"1 000.0 MB";"1 000.0 MB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"voodoo";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"vorgic";"MB prepaid";"never";"237.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"votto";"MB prepaid";"never";"733.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"vujasind";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.35";"00:0f:9f:ba:a3:c4";"";"";"";"";"";"";"";"";"";"";"";"2011-12-15";"";""
"yu7zz";"MB prepaid";"never";"237.3 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"yuneu";"MB prepaid";"never";"339.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"yz7rly";"MB prepaid";"never";"466.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"zeljko";"MB prepaid";"never";"452.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"zolisz";"MB prepaid";"never";"833.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"zombori";"MB prepaid";"never";"324.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
